,S,V,L,BET,Vt,Temp(K),K,n,Vmic,Group
427,0.28,0.2809,0.058,2100.0,0.78,298.0,2.1428021384340026,0.3145526520556957,0.29,0
428,0.28,0.2809,0.058,2100.0,0.78,323.0,1.670793699405587,0.3693707382275391,0.29,1
429,0.28,0.2809,0.058,4196.0,2.26,298.0,3.9437691297903146,0.568212051044204,1.56,0
430,0.28,0.2809,0.058,3817.0,2.26,298.0,3.306137927225006,0.5893830323701181,1.41,0
431,0.28,0.2809,0.058,3118.0,1.93,298.0,3.476749876912616,0.5709837882588651,1.06,0
432,0.28,0.2809,0.058,2721.0,1.63,298.0,4.543552500444641,0.4462620272546186,1.08,0
433,0.28,0.2809,0.058,1548.0,0.96,298.0,3.868450146679405,0.4587396693392505,0.66,0
440,0.28,0.2809,0.058,245.0,0.136,298.0,0.9241932815730862,0.5692634858896607,0.086,0
441,0.28,0.2809,0.058,898.0,0.428,298.0,3.438552358145637,0.4891233241266567,0.356,0
442,0.28,0.2809,0.058,995.0,0.497,298.0,3.5892133554175323,0.5391373130888023,0.39,0
443,0.28,0.2809,0.058,888.0,0.428,298.0,2.913055889275708,0.5290919551532329,0.336,0
467,0.28,0.2809,0.058,1853.0,0.97,273.0,5.357640174216444,0.7322083439130569,0.85,2
468,0.28,0.2809,0.058,2616.0,1.37,273.0,5.495825019439873,0.791176332432232,1.14,2
469,0.28,0.2809,0.058,3542.0,2.12,273.0,3.587057639159559,0.9024024078957192,1.22,2
470,0.28,0.2809,0.058,1105.0,0.58,273.0,4.08474574696103,0.6033873810515811,0.5,2
471,0.28,0.2809,0.058,606.0,0.33,273.0,2.3218082364624597,0.6003966971446942,0.27,2
472,0.28,0.2809,0.058,3578.0,1.91,288.0,3.762474584579852,0.8278937292149283,1.26,0
473,0.28,0.2809,0.058,3578.0,1.91,303.0,2.7728372028667128,0.8346915913519127,1.26,0
474,0.28,0.2809,0.058,3578.0,1.91,318.0,2.0451317809237106,0.8738761675590353,1.26,0
475,0.28,0.2809,0.058,111.0,0.07,273.0,0.9125294073278803,0.4968604587878085,0.05,2
476,0.28,0.2809,0.058,668.0,0.35,273.0,2.790689583352163,0.4633746798107006,0.32,2
477,0.28,0.2809,0.058,897.0,0.49,273.0,5.16508274724825,0.4781978066974568,0.42,2
