,0,1,2,3,4,5/1st,6,,5-r2,5-r3,5-no,5-opt
48,6,BGLGBM,0.744337078,0.024919651,0.759976754,0.017997429,{'n_estimators': 50},,0.028839615,0.028839615,0.02611185,0.03557802
49,7,DT,0.576779318,0.039083465,0.781466628,0.023636111,{'criterion': 'friedman_mse'},,0.029805477,0.029805477,0.010842658,0.023122242
50,7,GBR,0.748510604,0.02337145,0.776805411,0.018738959,"{'learning_rate': 0.1, 'n_estimators': 200}",,0.02513834,0.02513834,0.012619019,0.015222731
51,7,BG,0.740417797,0.024134109,0.783991838,0.01712349,{'n_estimators': 50},,0.031372669,0.031372669,0.010732049,0.014494857
52,7,ETR,0.751039776,0.023226525,0.769488668,0.017680146,{'n_estimators': 100},,0.025299622,0.025299622,0.011309426,0.015001575
53,7,RF,0.744982863,0.02375042,0.763224719,0.017962308,{'n_estimators': 150},,0.031249109,0.031249109,0.009952373,0.01426405
54,7,LGBM,0.727599762,0.025336067,0.608748733,0.028322249,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 50}",,0.030052618,0.030052618,0.015218497,0.019439721
55,7,BGLGBM,0.736844003,0.024614595,0.539669191,0.032532449,{'n_estimators': 30},,0.029619429,0.029619429,0.014360582,0.02069846
56,8,DT,0.650761048,0.033528166,0.797982449,0.017585756,{'criterion': 'friedman_mse'},,0.072034317,0.072034317,0.026174217,0.030936834
57,8,GBR,0.766282378,0.022065267,0.685448242,0.021338074,"{'learning_rate': 0.1, 'n_estimators': 200}",,0.032937087,0.032937087,0.011730972,0.017837836
58,8,BG,0.759060781,0.022929614,0.781222902,0.014836256,{'n_estimators': 100},,0.040857838,0.040857838,0.011854955,0.020100993
59,8,ETR,0.766232677,0.022086311,0.799558264,0.01427471,{'n_estimators': 100},,0.043604849,0.043604849,0.010067441,0.018171824
60,8,RF,0.767372322,0.022077381,0.795331872,0.014139049,{'n_estimators': 50},,0.039377996,0.039377996,0.012509511,0.02062026
61,8,LGBM,0.743975554,0.024233487,0.741218742,0.019163886,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",,0.03462171,0.03462171,0.016175616,0.016155185
62,8,BGLGBM,0.743239139,0.024361871,0.733842747,0.018066072,{'n_estimators': 50},,0.031750016,0.031750016,0.016546573,0.016768252
63,9,DT,0.59834443,0.038727367,0.681193505,0.034469819,{'criterion': 'poisson'},,0.020203279,0.020203279,0.049878389,0.026177677
64,9,GBR,0.763241379,0.022923578,0.749381536,0.017971351,"{'learning_rate': 0.1, 'n_estimators': 200}",,0.014296644,0.014296644,0.016420238,0.021238617
65,9,BG,0.76829163,0.022407357,0.704797815,0.021433564,{'n_estimators': 100},,0.011458912,0.011458912,0.02097757,0.025673429
66,9,ETR,0.773404547,0.021795249,0.727388721,0.019978835,{'n_estimators': 200},,0.013878666,0.013878666,0.023887381,0.021742175
67,9,RF,0.772062784,0.022130179,0.722997548,0.020246224,{'n_estimators': 150},,0.011750629,0.011750629,0.021580099,0.024612309
68,9,LGBM,0.756092454,0.023445161,0.743379023,0.021230618,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",,0.017978756,0.017978756,0.023295753,0.022369935
69,9,BGLGBM,0.753201548,0.02394232,0.72978645,0.020252748,{'n_estimators': 30},,0.014769526,0.014769526,0.022368687,0.02205409
