,Unnamed: 0,n,kf,R_f,Q10,Q,kl,R_l,Index,
191,191,1.434284559,1.635445014,0.997254425,8.144185635,3.475961244,0.863179347,0.999238972,2942,0.910847664
192,192,1.280920735,1.505183925,0.997690503,9.084018367,4.248368181,0.537648384,0.999221205,2943,0.958278004
193,193,1.231366087,1.312488732,0.999047367,8.515335352,4.52249219,0.403648894,0.999676678,2944,0.930201756
194,194,1.25491072,1.226810536,0.997991477,7.685054203,4.008778372,0.435209009,0.999801395,2945,0.885646935
195,195,1.252764916,1.184880234,0.997785077,7.445756238,3.621780862,0.477788727,0.999815191,2946,0.871908814
196,196,1.854296299,0.367365794,0.973776533,1.271706395,0.536638131,1.969963926,0.996379266,2947,0.104386855
197,197,3.439484401,1.175274883,0.953995504,2.29551802,2.313451892,0.899893,0.99853398,2948,0.360880706
198,198,2.150211443,0.722265986,0.956969272,2.107500587,2.391887493,0.370962937,0.993989728,2949,0.323767704
199,199,2.105209046,0.563022572,0.961011001,1.680885055,1.931630859,0.350795454,0.99438492,2950,0.225538016
200,200,2.130212444,0.681796385,0.954212183,2.009515873,2.296904908,0.360237087,0.991780829,2951,0.303091441
201,201,1.886671654,0.431358969,0.970193713,1.461748871,1.67674269,0.305403827,0.995916696,2952,0.164872767
202,202,1.696538318,0.890941296,0.99276203,3.461661844,5.361893952,0.164601922,0.997331671,2953,0.539284641
203,203,1.737287515,0.620666167,0.982480296,2.335974157,3.373312933,0.192754433,0.998923178,2954,0.368468034
204,204,1.680839509,0.549043016,0.991018597,2.160464678,3.289742631,0.168507059,0.998800646,2955,0.33454717
205,205,1.630404835,0.717446897,0.99323984,2.945332714,4.570466648,0.160554036,0.999097043,2956,0.469134361
206,206,1.687530059,0.522637936,0.982161699,2.045422209,3.046581372,0.177872755,0.998690113,2957,0.310782967
207,207,1.656709187,0.492090229,0.9894613,1.97538149,3.07308266,0.160200857,0.99766152,2958,0.29565098
208,208,1.626506283,0.655920726,0.991510522,2.70188009,4.268255557,0.153699325,0.999311756,2959,0.431666071
209,209,1.682472017,0.457871131,0.989635561,1.799313289,2.716809939,0.171767711,0.999520101,2960,0.255106787
210,210,1.615626633,0.408861182,0.988773273,1.700320406,2.703375912,0.151088213,0.999331424,2961,0.230530767
214,214,3.267571035,0.617276988,0.987982624,1.248871659,2.358956517,0.136502171,0.962418249,2965,0.09651781
217,217,3.652904443,3.042580276,0.973538056,5.714744407,6.600817387,-72064236.96,-3.19E-08,2968,0.756996811
218,218,3.140649194,2.249213841,0.973446694,4.682052236,6.133267255,-57546036.15,-1.84E-08,2969,0.670436255
219,219,2.74100896,1.648957492,0.976918057,3.819782384,5.317067077,-30790477.82,-3.52E-08,2970,0.582038622
222,222,2.118719984,0.10366916,0.979451431,0.30734961,1.015397535,0.03996941,0.999558553,2973,-0.512367333
223,223,3.697479052,1.983042065,0.954442441,3.696463889,3.905698085,-65178320.79,-2.81E-08,2974,0.567786468
224,224,3.263466513,1.609435355,0.965889609,3.259088622,3.477809648,-44072704.59,-4.39E-08,2975,0.51309617
225,225,2.825668735,1.294841729,0.963148447,2.924928223,4.925342487,0.204880327,0.997098624,2976,0.466115213
230,230,1.765567124,2.51614511,0.997968465,9.270986129,7.714857125,-66694644.81,-1.58E-08,2981,0.967125931
231,231,1.704021753,2.156522349,0.997505421,8.329154763,7.417994598,-21812818.15,-4.20E-08,2982,0.920600932
232,232,1.614683191,1.79039588,0.997376762,7.451875753,6.947326488,-14796291.36,-5.31E-08,2983,0.872265605
233,233,1.552425993,1.522969132,0.998365543,6.711880116,5.78004352,-22775247.21,-4.09E-08,2984,0.826844191
234,234,1.465196802,1.259075299,0.99819876,6.061133867,5.681845408,-62051728.03,-2.42E-08,2985,0.782553876
235,235,2.691073371,1.450165763,0.987980307,3.412059401,3.705520115,-62470233.94,-2.36E-08,2986,0.533016583
236,236,2.457068879,1.240910558,0.987657481,3.16759375,3.342299847,-27092004.79,-4.21E-08,2987,0.500729477
237,237,2.258167936,1.032712473,0.982496847,2.862966612,3.251869916,-36183522.28,-4.43E-08,2988,0.456816283
238,238,2.090286895,1.843747531,0.985673983,5.547594139,4.776213535,-87102193.29,-2.23E-08,2989,0.744104681
239,239,2.323972291,2.022723634,0.986488441,5.447964617,4.640240761,-78215518.83,-2.92E-08,2990,0.736234278
240,240,2.445849378,1.662376679,0.98098781,4.261724375,6.234785674,0.260331788,0.99378623,2991,0.629585359
