,n,kf,R_f,Q,kl,`,Index
120,2.145085521,0.392812902,0.997470871,1.915816858,-4592299.939,-4.13E-08,2871
121,2.145240524,0.832204486,0.985871471,3.604403945,-9223293.911,-4.78E-08,2872
122,2.329182136,0.996320013,0.986133629,3.860910555,-7885923.81,-5.18E-08,2873
123,2.414838035,2.691021593,0.986790801,7.098917775,-53551264.12,-2.25E-08,2874
124,3.138064642,2.575360101,0.976498443,5.301837054,-100575357.9,-3.09E-08,2875
125,3.127107991,2.100321902,0.957062238,4.18955332,-51862369.92,-4.21E-08,2876
126,1.974803316,2.230165841,0.99385297,7.38974956,-44037207.96,-3.52E-08,2877
127,1.966338347,2.088999738,0.989946198,6.775389935,-42884819.05,-3.67E-08,2878
128,2.03694524,1.704009322,0.98343199,5.525747974,-54799200.72,-1.65E-08,2879
129,1.361135951,1.270539976,0.999396226,2.93511331,0.732872135,0.998641856,2880
130,1.253200002,0.902850422,0.999231028,2.513484126,0.536756077,0.999515386,2881
131,1.17798817,0.633578157,0.999037933,2.49400003,0.335501766,0.999678767,2882
132,2.145261458,2.044693159,0.99194878,8.950819594,-12924325.94,-4.04E-08,2883
133,2.100744457,1.467525316,0.991142446,6.400894146,-16566561.8,-3.08E-08,2884
134,2.064470001,1.13579584,0.990384528,5.076005928,-17238235.27,-3.17E-08,2885
135,1.942155716,0.844795261,0.990559331,4.172876253,-10299253.35,-4.69E-08,2886
136,1.817210554,0.629755442,0.99092587,3.49478389,-21331988.63,-2.11E-08,2887
137,1.895464374,1.423708661,0.998274177,8.076493855,0.152887091,0.988993527,2888
138,1.767294062,1.201750646,0.997750687,8.143379712,0.125686879,0.994251883,2889
139,1.704721032,1.062059868,0.998087724,7.943869333,0.112490425,0.99532918,2890
140,1.5998904,0.894478122,0.998421077,8.133813966,0.090843355,0.996641796,2891
141,1.531847607,0.769467353,0.998125105,8.065763047,0.078696315,0.997821411,2892
142,1.461880759,0.660011282,0.998120079,8.1081634,0.067252842,0.99843137,2893
143,2.825587296,2.712553176,0.983676373,7.61446002,-55180595.02,-3.08E-08,2894
144,3.214151806,2.772799931,0.971989647,7.16077017,-40861831.69,-2.16E-08,2895
145,4.164097834,3.113489925,0.952488433,6.641981702,-24231716.93,-3.97E-08,2896
146,2.325995038,1.989579319,0.984299678,7.346814276,-27405114.29,-3.33E-08,2897
147,2.370016605,2.143697112,0.985598303,7.497967648,-40995776.07,-2.02E-08,2898
148,2.868558182,2.610225403,0.976956074,7.478914684,-24009624.29,-4.38E-08,2899
149,3.627115711,3.014315783,0.973014778,6.627184648,-187766392.7,-9.14E-09,2900
150,3.630727302,2.855799508,0.964625772,6.306015798,-23075821.37,-3.92E-08,2901
151,2.962198096,2.212840579,0.952259442,5.389287438,-28602321.35,-4.98E-08,2902
152,2.743084569,2.542018062,0.958553572,7.755606824,-44434545.43,-2.23E-08,2903
153,2.864940158,2.577183069,0.969137246,7.396108131,-28126011.36,-3.18E-08,2904
154,1.69592398,2.194521365,0.995042433,7.747999398,-23879542.29,-3.46E-08,2905
155,1.490531428,1.436272742,0.99500897,6.319451208,-12995374.32,-4.48E-08,2906
156,1.385131381,1.040411414,0.994725874,4.81565967,-26806512.56,-2.29E-08,2907
157,1.32314535,0.758676212,0.994687561,4.27190587,-44586763.92,-1.36E-08,2908
158,1.795322243,1.495177973,0.990811768,4.968087378,-33371552.49,-2.69E-08,2909
159,1.64358467,1.079692523,0.992943918,4.408672306,-18521064.63,-3.98E-08,2910
160,1.4929062,0.754133861,0.996894361,3.609050391,-59884373.13,-1.04E-08,2911
