,n,kf,R_f,Q1,Q,kl,R_l,Index
632,1.9099025077453466,0.14272212442231527,0.9982651642779196,0.14272212442231527,1.5411395918773183,0.04329230255500059,0.9912622385654462,3395
633,1.8133647834294897,0.1377495300232833,0.9927264084075837,0.1377495300232833,1.7336605583234237,0.03809879684966495,0.9992380943189862,3396
634,2.3692906514445844,2.9969951688952503,0.9950782782128776,2.9969951688952503,11.089899272706697,-11408961.31698111,-4.701174471932745e-08,3397
635,2.17773831873437,2.294547048736914,0.9892197332603541,2.294547048736914,9.630789197728252,-20890607.8061193,-2.1300924801792576e-08,3398
636,2.583487421016403,2.117670286353236,0.9511898963846585,2.117670286353236,7.368335010200507,-45024650.65225359,-1.1020987678023175e-08,3399
637,2.312391241210512,1.5001784145508008,0.9523376108076744,1.5001784145508008,6.1891262406264635,-8411055.420253646,-4.456017488330133e-08,3400
638,2.121061518652465,1.1829203959723367,0.96178520691362,1.1829203959723367,5.945881363459373,-22097765.57675816,-1.7484025338632136e-08,3401
639,1.9269417464092018,0.8709268832266166,0.9808368031623309,0.8709268832266166,4.81471904157608,-12179705.174214208,-4.3196963339653394e-08,3402
640,2.7260740688275686,3.331676640005628,0.9898822628082862,3.331676640005628,11.032048281101124,-16577789.875394527,-4.261726105347918e-08,3403
641,2.7750608770907146,2.660553515603561,0.9557500584201859,2.660553515603561,8.337656655111044,-26879157.350874875,-2.5315349816423804e-08,3404
642,2.7021019136985633,2.1398858441297994,0.9558861048584587,2.1398858441297994,6.9220814762302325,-15026001.851459304,-4.89171210205086e-08,3405
643,2.287148311012846,1.472629450002964,0.952945834130887,1.472629450002964,6.091688039764168,-12931432.391518451,-3.433040030031975e-08,3406
644,2.3170098647189787,1.2293544384689001,0.9447216475154726,1.2293544384689001,5.41405879067467,-13113532.111740893,-2.768056095447946e-08,3407
645,2.165189113150642,0.9645308117531236,0.9571971653400313,0.9645308117531236,4.248823452940828,-15938391.249703987,-4.4364792506357276e-08,3408
646,1.2857773017449503,4.5269407656283756,0.998844389690896,4.5269407656283756,12.763703916132634,0.5349635709577472,0.9995556515316752,3409
647,1.1875500171064368,2.5009116893368075,0.9997365343532184,2.5009116893368075,9.797879669129479,0.33729058195486405,0.9994045473837002,3410
648,1.2128419335496763,0.8338335304682336,0.9976861743623405,0.8338335304682336,3.2277203342959493,0.34771232012106856,0.99804333880581,3411
649,1.2597375433703395,2.1850080289120175,0.9991978521246737,2.1850080289120175,7.105718286024039,0.44110057944131964,0.9996045597684652,3412
650,1.2556502060871106,2.5500893940424496,0.9985108142717952,2.5500893940424496,8.33091928023953,0.4385877134493775,0.9999164306442216,3413
651,1.259041345144027,2.0161475183523137,0.9991687338228754,2.0161475183523137,6.489848177830113,0.4482036280649646,0.9996604107514737,3414
652,1.2801697270818946,0.4686187500746635,0.9947400760158642,0.4686187500746635,1.3284134508793644,0.5320164907607512,0.9993369799717039,3415
653,1.171315091670038,1.0331243370975995,0.9988851983476601,1.0331243370975995,4.361606188086309,0.30672848792844093,0.9995741288370597,3416
654,1.2546100566328104,1.1277557096700177,0.99926093196812,1.1277557096700177,3.5074075157407414,0.4664298511054143,0.9992689478067935,3417
655,1.2875984762921826,1.2294005641698331,0.9989587013374646,1.2294005641698331,3.4847724889868736,0.5330545776876121,0.9970776521224798,3418
656,2.738172329424177,2.8619744128343507,0.961999055824653,2.8619744128343507,7.810276658040468,-68040608.82806577,-1.5556198995625437e-08,3419
657,2.451771539723874,2.269118498766937,0.9642220170219926,2.269118498766937,6.924901141231795,-26077814.687736716,-2.774665852633973e-08,3420
658,2.3407543992225626,1.9970696291790462,0.9721382083428485,1.9970696291790462,6.524374133429234,-23754191.103557594,-3.095112655060461e-08,3421
659,2.161715943939461,1.6361229533458843,0.9777571873636164,1.6361229533458843,6.071146158602869,-12747580.868790759,-4.590846569563212e-08,3422
660,1.8878491259749437,1.1968841012222198,0.9802821655203443,1.1968841012222198,5.513833947307188,-18056974.955539957,-2.6876987080370895e-08,3423
661,1.7304793555950764,1.258112201217111,0.9861848245280558,1.258112201217111,5.503042527844917,-55787845.686487645,-4.111377704951735e-08,3424
662,1.7234195914328772,1.2813981595623862,0.9963850155157044,1.2813981595623862,5.821500963965345,-159218957.22903872,-2.8511022653887608e-08,3425
663,1.837823522443221,1.4269754538489872,0.9870812476725876,1.4269754538489872,6.125760603942358,-28125569.95316785,-2.7115018230716714e-08,3426
664,1.7774659887903672,1.1040639916996382,0.984395433534751,1.1040639916996382,4.771805240692884,-24935672.866985604,-2.5317183460771275e-08,3427
665,2.1379308737485196,1.4398297105322877,0.9874938538198077,1.4398297105322877,4.642776624018315,-286020741.54896677,-1.8170269067141476e-08,3428
666,1.9961213275620695,1.9045816715286665,0.9921283743524794,1.9045816715286665,5.674859307539699,-112814788.75056358,-2.0243795528784858e-08,3429
667,2.1479866463399473,1.4505883588216357,0.9598931234014306,1.4505883588216357,4.178501597180515,-54909979.55520763,-2.0256543553642814e-08,3430
668,2.0784935787804804,1.1945651029272815,0.9614171909707384,1.1945651029272815,3.4553745628602943,-42999338.009940475,-3.233859424689456e-08,3431
669,2.8629489247393605,0.9620576187693572,0.9641224562604822,0.9620576187693572,3.161382812649496,0.28681198241568934,0.9929673777615546,3432
670,1.7266245379048357,2.442705271267519,0.9969467321694708,2.442705271267519,3.7440920227736347,1.672761391432451,0.9962242133912489,3433
671,1.5551664859740522,2.5757465237811963,0.9974974991223946,2.5757465237811963,4.703039845951083,1.134159670607526,0.9985077850583188,3434
672,1.9317507168085726,1.6878556584210387,0.9866116553170755,1.6878556584210387,2.2292098799094546,2.507246879830949,0.9958035738876468,3435
673,2.0317342806956518,2.6604079863907777,0.9899146946918339,2.6604079863907777,3.499195936446781,2.6329739350219814,0.9942807674193994,3436
674,1.8221028687792546,2.090882696718264,0.9854779757428188,2.090882696718264,2.930472314122736,2.0911472146609276,0.9972380483343762,3437
675,1.9488967569901623,1.9094966567784313,0.9834507124921249,1.9094966567784313,2.54305561271943,2.498051951211738,0.9987209163620173,3438
676,1.5154889137172196,0.30460544384033755,0.9986372707583419,0.30460544384033755,0.5968414597472772,1.0080695459634192,0.9967056082192017,3439
677,1.4407617392438756,0.20266644321066116,0.9966526882039948,0.20266644321066116,0.42601619223230525,0.868018397840971,0.9987045784623171,3440
678,1.5596926769487347,0.5550690627609479,0.9969624579722928,0.5550690627609479,1.024079357027909,1.127394455603279,0.9972497037221628,3441
679,1.3508533854113196,0.3498421995620325,0.995626854312413,0.3498421995620325,0.8419688195491348,0.6859786393315884,0.9984940697282618,3442
680,1.6268522190997552,0.6318171924411137,0.99698543142949,0.6318171924411137,1.0958113742505915,1.2850388583970611,0.9975540073172737,3443
681,1.3913297459433847,0.4350636017353036,0.9985728039682152,0.4350636017353036,1.0161993657756767,0.7284187669279044,0.997261586761208,3444
682,1.630478464915937,0.8095324695301408,0.9967638423414269,0.8095324695301408,1.3174972304486892,1.450987334480926,0.9977638850125573,3445
683,1.4044920080401364,0.5436226008501338,0.9977436371049079,0.5436226008501338,1.2169591578419492,0.7832868727543475,0.9992111533860074,3446
684,1.5117511713542735,0.9686803263457177,0.998637361836557,0.9686803263457177,1.820889202952498,1.06871026210294,0.9974298937960034,3447
685,1.2815620811932187,0.6507904468641241,0.9989007008379177,0.6507904468641241,1.9429688997065544,0.4946099168215768,0.9984881887625721,3448
686,2.7139788833288763,2.38092887001148,0.9985697415280519,2.38092887001148,6.831611660350929,0.42589248079858644,0.9519980025356053,3449
687,2.5077609133991516,2.016915759164417,0.9977239829524946,2.016915759164417,6.672670308080046,0.32995290731460497,0.975743494011626,3450
688,2.5376534668300237,1.7826854038560795,0.9971322477894106,1.7826854038560795,3.5716868493293443,-20767153.1175191,-7.564053783326585e-08,3451
689,1.9348148317386218,1.5160263912803436,0.9873024886758769,1.5160263912803436,5.6172838942381125,-55458801.71198885,-3.9983330646364834e-08,3452
690,1.9700866843821798,2.035431028399944,0.9786222226693778,2.035431028399944,7.359386947555815,-83589374.05073774,-1.8759418907166037e-08,3453
691,1.723808667155223,1.3653429781733961,0.9896406207878307,1.3653429781733961,6.13371642194499,-36133902.85885976,-2.348391570095032e-08,3454
692,2.0146593113259326,1.7908675451790967,0.9892197228938794,1.7908675451790967,6.713920763824254,-25209204.85014157,-3.2733508126270294e-08,3455
