,Literature,Unnamed: 1,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,logP,logQ,logD,Label,Unnamed: 25,K,n,R2
515,5,41,TC,Ethane,0,0,0,0,0.3904,0.492,1500,1.3,0.52,0.78,,,,263,0.329,3.09,2374,-1.111697528,1.128171091,2.239868619,E&E,,4.918263785,0.359517318,0.996823809
526,,52,,Ethane,0,0,0,0,0.3904,0.492,1500,1.3,0.52,0.78,,,,273,0.342,2.421,2375,-1.072944542,0.884180678,1.95712522,E&E,,4.230845846,0.332539812,0.987597157
536,,0,C-PDA-2,Ethane,0,0,0,0,0.3904,0.492,2715,1.16,,,,,,298,0.038299298,0.981274146,2376,-3.262323705,-0.018903402,3.243420303,E&E,,8.1134874,0.56392733,0.995288629
545,,9,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2715,1.16,,,,,,298,0.009569897,0.265749428,2377,-4.649132866,-1.325201413,3.323931454,E&E,,6.757120798,0.605302888,0.997648735
557,,21,C-PDA-3,Ethane,0,0,0,0,0.3904,0.492,3160,1.51,,,,,,298,0.015303933,0.314598802,2378,-4.179645392,-1.156457097,3.023188295,E&E,,6.740530977,0.63022931,0.997469333
570,,34,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3160,1.51,,,,,,298,0.011508235,0.104704748,2379,-4.464692417,-2.256610812,2.208081605,E&E,,5.208157385,0.659356468,0.997929991
582,,46,C-PDA-4,Ethane,0,0,0,0,0.3904,0.492,3291,1.78,,,,,,298,0.007100512,0.189741919,2380,-4.947588442,-1.662090452,3.28549799,E&E,,5.88843518,0.657160114,0.999215815
594,,58,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3291,1.78,,,,,,298,0.007125901,0.075998324,2381,-4.944019135,-2.577043987,2.366975147,E&E,,4.580892414,0.696075013,0.998138482
606,,70,C-PDA-5,Ethane,0,0,0,0,0.3904,0.492,2847,1.97,,,,,,298,0.010299106,0.208037825,2382,-4.575698206,-1.570035365,3.005662842,E&E,,4.991577494,0.665957487,0.999242439
618,,82,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2847,1.97,,,,,,298,0.008658649,0.056737589,2383,-4.749196527,-2.869318349,1.879878178,E&E,,3.964305144,0.700997171,0.997701789
629,,93,C-PAD-3,Ethane,0,0,0,0,0.3904,0.492,3160,1.51,,,,,,273,0.030141844,1.129895934,2384,-3.501840907,0.122125534,3.623966442,E&E,,9.622297945,0.554474095,0.996112478
640,,104,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3160,1.51,,,,,,273,0.035460993,0.903631633,2385,-3.339321978,-0.101333487,3.237988491,E&E,,7.751081795,0.592087587,0.998523985
651,,115,,Ethane,0,0,0,0,0.3904,0.492,3160,1.51,,,,,,288,0.035460993,0.803129121,2386,-3.339321978,-0.21923978,3.120082198,E&E,,7.566564019,0.612520551,0.997682811
661,,125,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3160,1.51,,,,,,288,0.076241135,1.053360776,2387,-2.573854136,0.051985791,2.625839927,E&E,,6.100109931,0.635449324,0.997497733
670,,134,,Ethane,0,0,0,0,0.3904,0.492,3160,1.51,,,,,,313,0.028368794,0.401297266,2388,-3.562465529,-0.913052813,2.649412716,E&E,,5.096007927,0.685151584,0.99821741
679,,143,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,3160,1.51,,,,,,313,0.031914894,0.2504544,2389,-3.444682494,-1.384478412,2.060204081,E&E,,4.013799696,0.738989753,0.998935613
688,6,0,CMK-3,Ethane,0,0,0,0,0.3904,0.492,1182,1.19,,,,,,303,0.00736594,0.447468968,2390,-4.910888621,-0.804148089,4.106740532,E&E,,3.125933545,0.385167994,0.998193144
699,,11,,Ethane,0,0,0,0,0.3904,0.492,1182,1.19,,,,,,323,0.019179957,0.34991541,2391,-3.953889449,-1.050063838,2.903825611,E&E,,2.665396445,0.453936471,0.996645354
709,,21,,Ethane,0,0,0,0,0.3904,0.492,1182,1.19,,,,,,343,0.019275001,0.25258996,2392,-3.948946286,-1.375987818,2.572958467,E&E,,2.222536175,0.509449746,0.99720373
719,,31,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1182,1.19,,,,,,303,0.024830346,0.563917349,2393,-3.695688754,-0.572847582,3.122841172,E&E,,2.909181915,0.417646959,0.998901652
729,,41,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1182,1.19,,,,,,323,0.030822894,0.427547665,2394,-3.479497544,-0.8496895,2.629808044,E&E,,2.371198357,0.475156472,0.998826002
739,,51,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1182,1.19,,,,,,343,0.019351037,0.174729599,2395,-3.945009273,-1.74451565,2.200493622,E&E,,1.949943116,0.548208298,0.997559783
766,,25,,Ethane,0,0,0,0,0.3904,0.492,645,0.287,0.073,0.214,,,,333,0.165,0.344,2398,-1.801809805,-1.067113622,0.734696183,E&E,,1.451730381,0.362296793,0.874852692
779,,83,pit-GAC,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,645,0.287,0.073,0.214,,,,303,0.232,0.759,2399,-1.461017907,-0.275753502,1.185264406,E&E,,2.018691335,0.331488709,0.884570988
789,,96,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,645,0.287,0.073,0.214,,,,318,0.265,0.71,2400,-1.328025453,-0.342490309,0.985535144,E&E,,1.762245273,0.316368375,0.908457373
802,,109,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,645,0.287,0.073,0.214,,,,333,0.181,0.117,2401,-1.709258248,-2.145581344,-0.436323096,E&E,,1.367294023,0.453714561,0.873327731
816,8,38,BDH-AC,Ethane,0,0,0,0,0.3904,0.492,1220,0.534,0.055,0.479,,,,313,0.048879837,0.498880079,2402,-3.018390297,-0.695389535,2.323000763,E&E,,1.934578128,0.333246891,0.965047443
826,,48,,Ethane,0,0,0,0,0.3904,0.492,1220,0.534,0.055,0.479,,,,323,0.122199593,0.482354592,2403,-2.102099566,-0.729075768,1.373023798,E&E,,1.654740954,0.355512896,0.952777457
