,Literature,Unnamed: 1,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,K,n,R2,Excluded,P1,P2,P3,P4,P5
543,,10,CEMC700,Hydrogen,0,0,0,0,0.1086,-1.2,2878,1.67,0.9,0.77,,,,77,0.342225342,8.034398034,3657,11.7078173,0.304555025,0.99640465,,0.342225342,5.888349979,8.360668815,11.35214908,20.12763649
554,,21,CEMC800,Hydrogen,0,0,0,0,0.1086,-1.2,2762,1.41,0.42,0.99,,,,77,0.405405405,7.223587224,3658,10.70541838,0.32552047,0.996913764,,0.405405405,2.369092824,7.903570631,10.82995628,19.93091675
564,,31,CEMC850,Hydrogen,0,0,0,0,0.1086,-1.2,2658,1.42,0.44,0.98,,,,77,0.271067998,5.15970516,3659,9.968750559,0.327800813,0.993046238,,0.271067998,0.930310476,8.160279524,13.4921344,19.99202272
574,,41,CEMC900,Hydrogen,0,0,0,0,0.1086,-1.2,2168,1.11,0.36,0.75,,,,77,0.463639555,4.127764128,3660,7.941189185,0.350834291,0.98262826,,0.463639555,1.056351511,1.383260474,2.492740675,20.04834232
585,,52,CEMC950,Hydrogen,0,0,0,0,0.1086,-1.2,565,0.41,0.24,0.17,,,,77,0.522192795,1.179361179,3661,1.942479608,0.375648989,0.988859349,1,0.522192795,5.657966113,10.72465618,13.0629567,19.81795845
594,12,0,SCEMC700,Hydrogen,0,0,0,0,0.1086,-1.2,1627,0.9,0.33,0.57,,,,77,0.249416133,4.419089466,3662,8.190518372,0.337743602,0.997061796,,0.249416133,1.611174322,6.904155937,8.998443021,19.86975268
605,,11,SCEMC800,Hydrogen,0,0,0,0,0.1086,-1.2,1035,0.62,0.23,0.39,,,,77,0.188334631,2.877679801,3663,5.791034106,0.318427415,0.99614519,,0.188334631,2.860949757,4.954937421,12.94568537,19.89116115
615,,21,SCEMC600,Hydrogen,0,0,0,0,0.1086,-1.2,803,0.67,0.39,0.28,,,,77,0.25735074,1.696527487,3664,3.532853441,0.373799304,0.996227088,,0.25735074,7.19144859,10.20480268,17.01958201,19.83786454
624,,30,SCEMC,Hydrogen,0,0,0,0,0.1086,-1.2,729,0.6,0.37,0.23,,,,77,0.124258938,2.363652015,3665,4.717130134,0.25908594,0.996055444,,0.124258938,5.61740224,15.90649141,18.00377268,19.97035751
635,13,0,R-A15,Hydrogen,0,0,0,0,0.1086,-1.2,1626,0.77,0.025,0.745,,,,303,3.066037736,0.186528497,3666,0.043622625,1.056841253,0.99975804,,3.066037736,44.5754717,58.72641509,91.27358491,100
643,,8,F1-A15,Hydrogen,0,0,0,0,0.1086,-1.2,1053.4,0.495,0.013,0.482,,,,303,5.896226415,0.303108808,3667,0.060884497,1.018983043,0.999690723,,5.896226415,30.18867925,45.99056604,62.26415094,99.76415094
652,,17,F2-A15,Hydrogen,0,0,0,0,0.1086,-1.2,645.7,0.4,0.009,0.391,,,,303,3.537735849,0.069948187,3668,0.019884335,1.209460883,0.999111228,,3.537735849,30.89622642,47.40566038,89.85849057,100
660,,25,NI-A15,Hydrogen,0,0,0,0,0.1086,-1.2,1467.7,0.696,0.035,0.661,,,,303,0.235849057,0.139896373,3669,0.127792447,0.905067745,0.998136812,,0.235849057,19.33962264,52.12264151,68.39622642,100.4716981
669,14,0,FF-4800,Hydrogen,0,0,0,0,0.1086,-1.2,4113,1.87,1.08,0.79,82.5,17.1,0,77,0.368138317,10.14084507,3670,16.83522889,0.230664683,0.946591281,,0.368138317,3.232213796,6.685175153,12.64039364,39.94154027
678,,9,FF-4700,Hydrogen,0,0,0,0,0.1086,-1.2,2803,1.23,0.5,0.73,78.3,21.2,0,77,0.74914229,12.3943662,3671,17.18197258,0.198923003,0.914298551,1,0.74914229,6.975442398,15.14287649,25.13994222,40.13881365
688,,19,FF-4600,Hydrogen,0,0,0,0,0.1086,-1.2,1970,0.86,0.27,0.59,66.9,31.2,0,77,0.757042254,7.464788732,3672,11.12360776,0.233226498,0.920450215,,0.757042254,4.20503792,17.27112676,19.86682918,39.96117732
699,,30,SF-4800,Hydrogen,0,0,0,0,0.1086,-1.2,2393,1.09,0.39,0.7,82.8,16.4,0.5,77,0.372677818,8.007719916,3673,15.44102086,0.209299737,0.896870145,,0.372677818,1.514412767,3.531297262,30.1194104,39.95056545
708,,39,SF-4700,Hydrogen,0,0,0,0,0.1086,-1.2,2512,1.2,0.29,0.91,77.6,21.3,0.4,77,0.755061962,9.973589761,3674,14.67490063,0.228489104,0.92422192,,0.755061962,5.072120268,10.75167603,13.64190425,40.14220898
719,15,0,C3-1/4-800,Hydrogen,0,0,0,0,0.1086,-1.2,2047,0.98,0.24,0.74,95,4.4,,77,0.238886924,6.272727273,3675,10.46511869,0.278699672,0.997188976,,0.238886924,5.124732596,13.0923914,15.14245288,19.65745279
732,,13,C4-1/2-700,Hydrogen,0,0,0,0,0.1086,-1.2,1283,0.68,0.11,0.57,85.8,11.9,,77,0.184075328,2.883116883,3676,7.953115992,0.28679571,0.960584219,,0.184075328,0.26741868,7.094109522,9.792847878,14.67101252
746,,27,E-1/4-700,Hydrogen,0,0,0,0,0.1086,-1.2,2252,1.03,0.12,0.91,94.1,5.2,,77,0.501871931,10.89171975,3677,13.3053021,0.246549069,0.999235994,1,0.501871931,1.960486864,3.007114958,6.575420171,19.97079464
759,,40,F-1/4-700,Hydrogen,0,0,0,0,0.1086,-1.2,2178,1.03,0.09,0.94,93,6.1,,77,0.319216868,8.21656051,3678,12.39584997,0.26631186,0.995381388,,0.319216868,1.192719729,3.975332653,10.08972302,19.63864443
774,,55,G-1/4-700,Hydrogen,0,0,0,0,0.1086,-1.2,2121,1,0.09,0.91,92.8,6.4,,77,0.187841364,5.770700637,3679,11.60161463,0.280339543,0.992744548,,0.187841364,1.217062933,3.183351972,7.949206658,19.58665176
789,,70,C1-1/4-600,Hydrogen,0,0,0,0,0.1086,-1.2,2014,0.94,0.13,0.81,,,,77,0.552856649,9.278134397,3680,11.84531986,0.247008337,0.99269892,,0.552856649,1.268961006,4.528488435,13.61862035,19.82441207
798,,79,AC1(1/4-600),Hydrogen,0,0,0,0,0.1086,-1.2,1853,0.87,0.14,0.73,,,,77,0.107939741,5.526670854,3681,10.74061945,0.286916249,0.998259245,,0.107939741,0.517991815,8.32711986,18.36707689,19.85927691
810,,91,AC1(1/4-700),Hydrogen,0,0,0,0,0.1086,-1.2,2722,1.23,0.17,1.06,,,,77,0.142655897,6.250469263,3682,12.66716321,0.309139427,0.998845013,,0.142655897,6.058898524,8.129007319,12.84482919,20.03620293
823,,104,C4-1/2-700,Hydrogen,0,0,0,0,0.1086,-1.2,1283,0.68,0.11,0.57,,,,77,0.109067607,6.361032938,3683,11.25957608,0.210714309,0.995162487,1,0.109067607,2.052796385,3.344365611,10.85285452,19.7859606
834,,115,AC4(1/2-700),Hydrogen,0,0,0,0,0.1086,-1.2,1280,0.64,0.11,0.53,,,,77,0.242445863,4.200721392,3684,7.877608279,0.30993508,0.994696119,,0.242445863,4.87071756,11.97160675,16.86339794,19.547016
846,,127,AC4(1/4-700),Hydrogen,0,0,0,0,0.1086,-1.2,2469,1.18,0.22,0.96,,,,77,0.10919973,6.477763685,3685,11.80944393,0.291694591,0.9988081,,0.10919973,3.176371107,7.154266915,18.26575237,19.93056932
858,16,0,Zr-CDC,Hydrogen,0,0,0,0,0.1086,-1.2,1880,0.93,0.06,0.87,,,,77,0.252844501,5.825923875,3686,9.617250788,0.241704665,0.988765879,,0.252844501,1.213653603,9.178255373,14.43742099,19.9494311
870,,12,AC-600,Hydrogen,0,0,0,0,0.1086,-1.2,1910,0.98,0.17,0.82,,,,77,0.278128951,6.652317915,3687,10.99978351,0.268215826,0.994963072,,0.278128951,0.480404551,1.517067004,3.109987358,19.97471555
884,,26,AC-800,Hydrogen,0,0,0,0,0.1086,-1.2,2460,1.23,0.19,1.04,,,,77,0.227560051,7.685480248,3688,12.68080743,0.274270135,0.99735603,,0.227560051,1.061946903,1.997471555,14.99367889,19.8482933
898,,40,AC-700,Hydrogen,0,0,0,0,0.1086,-1.2,2640,1.36,0.28,1.08,,,,77,0.303413401,9.25557146,3689,13.05596791,0.281148558,0.998174722,,0.303413401,4.07079646,5.967130215,8.04045512,19.8482933
913,,55,AC-900,Hydrogen,0,0,0,0,0.1086,-1.2,2770,1.47,0.49,0.98,,,,77,0.202275601,8.470656455,3690,13.66580765,0.271878895,0.998499158,1,0.202275601,3.059418458,11.04930468,17.04171934,19.8988622
928,18,0,CTP,Hydrogen,0,0,0,0,0.1086,-1.2,960,1.13,0.83,0.3,,,,77,0.467128028,3.295847751,3691,4.034499692,0.189220581,0.978542933,,0.467128028,6.384083045,10.58823529,21.02076125,44.68858131
