,group,r2,mse
552,696,,6.15E-05
553,697,,0.000406076
554,698,,0.803415409
555,699,,0.351680124
556,700,,1.130523677
557,707,,0.004547085
558,708,,0.002216202
559,709,,0.000558339
560,710,,1.86E-05
561,711,,0.000469671
562,712,,0.005997935
563,713,,0.016163662
564,714,,0.00224037
565,715,,0.000895544
566,716,,0.000211148
567,717,,9.59E-05
568,718,,0.000427872
569,719,,0.002375543
570,720,,0.099468696
571,721,,0.040833728
572,722,,0.291653826
573,723,,0.117921927
574,724,,0.006502325
575,725,,0.036679339
576,726,,1.442605287
577,727,,0.061633642
578,728,,0.062518144
579,729,,0.003652926
580,730,,0.000811148
581,731,,0.011200149
582,732,,9.69E-05
583,733,,0.000175416
584,734,,0.000396434
585,735,,0.002663299
586,736,,0.001002968
587,737,,5.42E-07
588,738,,0.002900996
589,739,,1.43E-05
590,740,,0.000309957
591,741,,0.000107375
592,742,,0.000107087
593,743,,0.00170849
594,744,,4.96E-05
595,745,,0.00164809
596,746,,0.00627215
597,747,,0.009961186
598,748,,0.012778787
599,749,,0.0012473
600,750,,0.00023372
601,751,,0.006978797
602,752,,1.01E-05
603,753,,0.004144979
604,754,,1.25E-07
605,755,,0.002512905
606,756,,0.012427059
607,757,,9.30E-05
608,758,,0.00904003
609,765,,0.288021774
610,766,,1.344948842
611,767,,0.050772646
612,768,,0.033451171
613,769,,0.100837772
614,770,,0.208930228
615,771,,0.009955602
616,772,,0.001487058
617,773,,0.031665281
618,774,,2.151932901
619,775,,0.00037821
620,776,,0.242328037
621,777,,0.304970738
622,778,,0.008171331
623,779,,0.000136725
624,780,,0.001116439
625,781,,0.393928679
626,782,,0.040530992
627,783,,0.168462938
628,784,,0.467135998
629,785,,1.979073451
630,786,,0.119321494
631,787,,0.961547469
632,788,,0.035316579
633,789,,0.405608766
634,790,,0.00560765
635,791,,0.036242788
636,792,,0.00146149
637,793,,0.002224948
638,794,,0.000364148
639,795,,0.003353095
640,796,,0.00038148
641,797,,0.000255987
642,798,,0.011879524
643,799,,0.012004002
644,800,,0.000582047
645,801,,0.004266504
646,802,,0.170673318
647,803,,0.00159337
648,804,,0.000247077
649,805,,8.08E-06
650,806,,0.000178269
651,807,,0.001433367
652,808,,0.002172919
653,809,,2.68E-05
654,810,,0.000520471
655,811,,0.004534965
656,812,,0.006811977
657,813,,0.000363029
658,816,,4.42E-05
659,817,,0.001210993
660,818,,8.25E-05
661,819,,0.010417483
662,820,,0.004008021
663,821,,8.64E-07
664,822,,0.000205804
665,825,,0.01818558
666,826,,0.00070586
667,827,,4.08E-06
668,828,,0.000122767
669,829,,0.012907614
670,830,,0.0011085
671,840,,0.005249711
672,841,,0.00296155
673,842,,1.36E-06
674,843,,0.008464171
675,844,,3.81E-05
676,845,,0.000110438
677,846,,0.001130726
678,847,,0.012572221
679,848,,0.002458987
