,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,kpg_pca_mse
0,CO2,LGBM_separate,0.936266802,0.873306362,-1,-1,0.949804966,0.723039607,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019272124
1,CO2,GBR_separate,0.938599674,0.828944609,-1,-1,0.947798202,0.790773814,"{'learning_rate': 0.5, 'n_estimators': 200}",0.02020727
1,CO2,ETR_separate,0.936350009,0.86605531,-1,-1,0.937046508,0.921798784,{'n_estimators': 200},0.02020727
1,CO2,LGBM_separate,0.935678975,0.86986916,-1,-1,0.952433056,0.727794652,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.02020727
0,CO2,GBR_separate,0.932375471,0.895412495,-1,-1,0.942827325,0.737231724,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019112934
0,CO2,ETR_separate,0.938686745,0.813627541,-1,-1,0.937384065,0.811122774,{'n_estimators': 150},0.019112934
0,CO2,LGBM_separate,0.928644714,0.94486448,-1,-1,0.938670187,0.831090189,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019112934
1,CO2,GBR_separate,0.933537387,0.898762012,-1,-1,0.942074863,0.723977763,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019944152
1,CO2,ETR_separate,0.937176958,0.849698924,-1,-1,0.936462434,0.821518186,{'n_estimators': 180},0.019944152
1,CO2,LGBM_separate,0.933703087,0.893858867,-1,-1,0.939995614,0.772560212,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019944152
0,CO2,GBR_separate,0.940836417,0.793674744,-1,-1,0.907723569,1.400069202,"{'learning_rate': 0.5, 'n_estimators': 200}",0.020022501
0,CO2,ETR_separate,0.93807127,0.833072465,-1,-1,0.926146678,1.152113625,{'n_estimators': 180},0.020022501
0,CO2,LGBM_separate,0.939012642,0.82138687,-1,-1,0.911933487,1.342980822,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.020022501
1,CO2,GBR_separate,0.934971774,0.894876277,-1,-1,0.903826502,1.481724689,"{'learning_rate': 0.5, 'n_estimators': 200}",0.021177156
1,CO2,ETR_separate,0.937070378,0.867721205,-1,-1,0.926766322,1.141540527,{'n_estimators': 200},0.021177156
1,CO2,LGBM_separate,0.933773415,0.915546232,-1,-1,0.916273522,1.342751757,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.021177156
0,CO2,GBR_separate,0.936111396,0.882674202,-1,-1,0.950071712,0.686352921,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019291389
0,CO2,ETR_separate,0.936202428,0.875395526,-1,-1,0.944428003,0.773088981,{'n_estimators': 150},0.019291389
0,CO2,LGBM_separate,0.939804861,0.82431563,-1,-1,0.954835066,0.619815232,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019291389
1,CO2,GBR_separate,0.942174181,0.758220602,-1,-1,0.949991188,0.681409099,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019972186
1,CO2,ETR_separate,0.939148769,0.797782109,-1,-1,0.942285443,0.796287303,{'n_estimators': 200},0.019972186
1,CO2,LGBM_separate,0.941786629,0.771268381,-1,-1,0.942723602,0.791260325,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019972186
0,CO2,GBR_separate,0.943744852,0.776774853,-1,-1,0.944943747,0.776524811,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019431585
0,CO2,ETR_separate,0.943290065,0.776711783,-1,-1,0.9426392,0.78197698,{'n_estimators': 180},0.019431585
0,CO2,LGBM_separate,0.943027706,0.788454788,-1,-1,0.934126346,0.883479719,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019431585
1,CO2,GBR_separate,0.934640725,0.953150277,-1,-1,0.944206442,0.769289965,"{'learning_rate': 0.5, 'n_estimators': 200}",0.020165252
1,CO2,ETR_separate,0.940086163,0.874006499,-1,-1,0.942911692,0.782978952,{'n_estimators': 200},0.020165252
1,CO2,LGBM_separate,0.936916845,0.920644,-1,-1,0.93648761,0.840901861,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.020165252
0,CO2,GBR_separate,0.940346099,0.87068899,-1,-1,0.933154908,0.883608341,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019189393
0,CO2,ETR_separate,0.941532081,0.849929245,-1,-1,0.938809853,0.775475275,{'n_estimators': 200},0.019189393
0,CO2,LGBM_separate,0.942416391,0.846114627,-1,-1,0.946967476,0.712359861,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019189393
1,CO2,GBR_separate,0.935889333,0.991065287,-1,-1,0.9400769,0.772588588,"{'learning_rate': 0.5, 'n_estimators': 200}",0.020133593
1,CO2,ETR_separate,0.937621274,0.957591955,-1,-1,0.937153034,0.799295154,{'n_estimators': 200},0.020133593
1,CO2,LGBM_separate,0.933383883,1.027839255,-1,-1,0.937972449,0.820777355,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.020133593
0,CO2,GBR_separate,0.935752437,0.893263135,-1,-1,0.941585036,0.866005588,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019384736
0,CO2,ETR_separate,0.935636016,0.897887906,-1,-1,0.951163511,0.747269483,{'n_estimators': 200},0.019384736
0,CO2,LGBM_separate,0.940527199,0.829948606,-1,-1,0.93600197,0.981365097,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019384736
1,CO2,GBR_separate,0.925767065,1.042705518,-1,-1,0.941168932,0.866300808,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019736599
1,CO2,ETR_separate,0.935357679,0.906098115,-1,-1,0.949272294,0.774575344,{'n_estimators': 200},0.019736599
1,CO2,LGBM_separate,0.929864576,0.995569085,-1,-1,0.928864599,1.058748825,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019736599
0,CO2,GBR_separate,0.94379754,0.820703466,-1,-1,0.939382558,0.702480265,"{'learning_rate': 0.5, 'n_estimators': 200}",0.01902302
0,CO2,ETR_separate,0.942750253,0.833564513,-1,-1,0.930375226,0.727220427,{'n_estimators': 200},0.01902302
0,CO2,LGBM_separate,0.940676148,0.864860897,-1,-1,0.936147169,0.729656523,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.01902302
1,CO2,GBR_separate,0.937912366,0.874729937,-1,-1,0.93572675,0.756853883,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019604979
1,CO2,ETR_separate,0.94022302,0.841792211,-1,-1,0.930053352,0.729920479,{'n_estimators': 150},0.019604979
1,CO2,LGBM_separate,0.933651559,0.940352778,-1,-1,0.937756994,0.733002875,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019604979
0,CO2,GBR_separate,0.942288994,0.792356462,-1,-1,0.921185416,1.016205967,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019927034
0,CO2,ETR_separate,0.942027459,0.795278935,-1,-1,0.933970472,0.854484037,{'n_estimators': 180},0.019927034
0,CO2,LGBM_separate,0.936444541,0.873163141,-1,-1,0.940064432,0.78663087,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.019927034
1,CO2,GBR_separate,0.931946396,0.942745838,-1,-1,0.913639455,1.126516999,"{'learning_rate': 0.5, 'n_estimators': 200}",0.020822072
1,CO2,ETR_separate,0.942141237,0.799162625,-1,-1,0.928679379,0.916427741,{'n_estimators': 200},0.020822072
1,CO2,LGBM_separate,0.936277288,0.890939161,-1,-1,0.937126194,0.841996261,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.020822072
0,CO2,GBR_separate,0.945114415,0.797169674,-1,-1,0.935802121,0.884266056,"{'learning_rate': 0.5, 'n_estimators': 200}",0.018981492
0,CO2,ETR_separate,0.944271874,0.812814515,-1,-1,0.930278977,0.89729472,{'n_estimators': 150},0.018981492
0,CO2,LGBM_separate,0.94290524,0.832769793,-1,-1,0.934748076,0.86228262,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.018981492
1,CO2,GBR_separate,0.942489207,0.875822081,-1,-1,0.930253501,0.95371335,"{'learning_rate': 0.5, 'n_estimators': 200}",0.019750673
1,CO2,ETR_separate,0.944439209,0.84220108,-1,-1,0.92756676,0.925592176,{'n_estimators': 200},0.019750673
