,E,S,A,B,V,L,BET,Vt,Temp(K),K,n,Vmic
217,0,0.28,0.05,0.1,0.2809,0.058,1487.0,0.79,298.0,4.137802769905221,0.7071967188563245,0.66
218,0,0.28,0.05,0.1,0.2809,0.058,2322.0,1.06,298.0,4.065577372320527,0.6059722924784506,0.79
219,0,0.28,0.05,0.1,0.2809,0.058,2521.0,1.34,298.0,3.681202977570904,0.7346945598185765,0.78
220,0,0.28,0.05,0.1,0.2809,0.058,1967.0,0.94,273.0,6.444773592253245,0.647134120032823,0.83
221,0,0.28,0.05,0.1,0.2809,0.058,2690.0,1.19,273.0,6.342568002449421,0.7031701341335242,0.92
222,0,0.28,0.05,0.1,0.2809,0.058,2599.0,1.33,273.0,5.477615976636532,0.7571602812733155,0.82
223,0,0.28,0.05,0.1,0.2809,0.058,2349.0,0.99,298.0,4.164714089893403,0.706224004557613,0.85
224,0,0.28,0.05,0.1,0.2809,0.058,1967.0,0.94,298.0,4.007681404726331,0.7199278271860107,0.83
225,0,0.28,0.05,0.1,0.2809,0.058,2690.0,1.19,298.0,3.878137776138237,0.7708508288472752,0.92
226,0,0.28,0.05,0.1,0.2809,0.058,2599.0,1.33,298.0,3.3585561387535496,0.808359428828905,0.82
227,0,0.28,0.05,0.1,0.2809,0.058,671.2,0.333,298.0,2.286273084811532,0.7357960704368709,0.267
228,0,0.28,0.05,0.1,0.2809,0.058,671.2,0.333,308.0,1.9218633651331232,0.7299617860802678,0.267
229,0,0.28,0.05,0.1,0.2809,0.058,671.2,0.333,323.0,1.5851166217686867,0.8119167605217057,0.267
231,0,0.28,0.05,0.1,0.2809,0.058,942.0,0.42,298.0,3.1467824905637483,0.497776837518084,0.31
232,0,0.28,0.05,0.1,0.2809,0.058,942.0,0.42,273.0,4.480851365343463,0.3703602734345679,0.31
233,0,0.28,0.05,0.1,0.2809,0.058,1200.0,0.68,273.0,4.3818398199722575,0.5163518887509492,0.48
234,0,0.28,0.05,0.1,0.2809,0.058,1200.0,0.68,298.0,2.930036694394273,0.624513388353446,0.48
235,0,0.28,0.05,0.1,0.2809,0.058,1200.0,0.68,323.0,2.0839966599315165,0.7710110001404318,0.48
236,0,0.28,0.05,0.1,0.2809,0.058,1330.0,0.73,273.0,5.103005101926786,0.542071776515629,0.54
237,0,0.28,0.05,0.1,0.2809,0.058,1330.0,0.73,298.0,3.3036999271209337,0.6480196917561472,0.54
238,0,0.28,0.05,0.1,0.2809,0.058,1330.0,0.73,323.0,2.163512870415308,0.7769005251578273,0.54
239,0,0.28,0.05,0.1,0.2809,0.058,1570.0,0.83,273.0,5.024919423546135,0.6097024637233216,0.65
240,0,0.28,0.05,0.1,0.2809,0.058,1570.0,0.83,298.0,3.256865213648394,0.7173634522546614,0.65
241,0,0.28,0.05,0.1,0.2809,0.058,1570.0,0.83,323.0,2.072064109228548,0.8736169315733925,0.65
242,0,0.28,0.05,0.1,0.2809,0.058,1820.0,0.95,273.0,5.509254651090136,0.6261224265719071,0.75
243,0,0.28,0.05,0.1,0.2809,0.058,1820.0,0.95,298.0,3.417599743729968,0.918246511016568,0.75
244,0,0.28,0.05,0.1,0.2809,0.058,1820.0,0.95,323.0,2.070714171643624,0.9110167791039018,0.75
245,0,0.28,0.05,0.1,0.2809,0.058,2310.0,1.24,273.0,5.671828709067602,0.7491137556028107,0.96
246,0,0.28,0.05,0.1,0.2809,0.058,2310.0,1.24,298.0,3.0946801737291487,0.8160781192585753,0.96
247,0,0.28,0.05,0.1,0.2809,0.058,2310.0,1.24,323.0,1.823532221838169,0.942119462220286,0.96
248,0,0.28,0.05,0.1,0.2809,0.058,1890.0,0.9,298.0,4.22109267514761,0.6651839888484877,0.82
249,0,0.28,0.05,0.1,0.2809,0.058,1130.0,0.54,298.0,3.935980632819658,0.5904415968212712,0.48
250,0,0.28,0.05,0.1,0.2809,0.058,1250.0,0.61,298.0,4.3907606166477375,0.6288089075128399,0.55
251,0,0.28,0.05,0.1,0.2809,0.058,770.0,0.35,298.0,4.040403183994739,0.5030794485653619,0.34
252,0,0.28,0.05,0.1,0.2809,0.058,365.0,0.17,298.0,1.93960323857062,0.5065880143956691,0.16
253,0,0.28,0.05,0.1,0.2809,0.058,1890.0,0.9,273.0,6.075338102333781,0.5839326078939344,0.82
254,0,0.28,0.05,0.1,0.2809,0.058,1130.0,0.54,273.0,5.9084288367421,0.5327379051723727,0.48
255,0,0.28,0.05,0.1,0.2809,0.058,1250.0,0.61,273.0,6.259780736367672,0.5409246582453413,0.55
256,0,0.28,0.05,0.1,0.2809,0.058,770.0,0.35,273.0,5.480835123344972,0.4205144198530366,0.34
257,0,0.28,0.05,0.1,0.2809,0.058,365.0,0.17,273.0,2.790814777607303,0.3874383146888542,0.16
258,0,0.28,0.05,0.1,0.2809,0.058,1267.0,0.45,273.0,4.763702698197181,0.4986698334877908,0.4
259,0,0.28,0.05,0.1,0.2809,0.058,1346.0,0.57,273.0,5.589135707663513,0.5476051439220775,0.46
260,0,0.28,0.05,0.1,0.2809,0.058,1379.0,0.58,273.0,5.766799797483029,0.5404454959719418,0.51
261,0,0.28,0.05,0.1,0.2809,0.058,1699.0,0.8,273.0,4.237341038298994,0.6370850190345876,0.48
262,0,0.28,0.05,0.1,0.2809,0.058,1111.0,0.55,273.0,4.069116389502157,0.6547636975569627,0.33
263,0,0.28,0.05,0.1,0.2809,0.058,1263.0,0.62,273.0,4.615482413457037,0.5551551612227639,0.41
264,0,0.28,0.05,0.1,0.2809,0.058,585.0,0.28,273.0,6.206526895785958,0.509480279820458,0.2
265,0,0.28,0.05,0.1,0.2809,0.058,1593.0,0.74,273.0,4.592550492672919,0.6559692392439495,0.54
