,Unnamed: 0,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,K,n,R2
1264,147,D700-K5,Hydrogen,0,0,0,0,0.1086,-1.2,2888,,,1.23,,,,77,0.827586207,12.42839142,122,14.45558088,0.160120767,0.939793387
1273,156,D700-K3,Hydrogen,0,0,0,0,0.1086,-1.2,2004,,,0.94,,,,77,1.011494253,11.02434077,123,12.4889494,0.146951572,0.90020398
1282,165,D700-K2,Hydrogen,0,0,0,0,0.1086,-1.2,1491,,,0.71,,,,77,2.206896552,12.62662118,124,12.40036956,0.098520236,0.864138197
1290,173,D700-K1,Hydrogen,0,0,0,0,0.1086,-1.2,999,,,0.46,,,,77,1.195402299,9.352910443,125,9.312887184,0.160005892,0.982333848
1297,0,Com ZTC,Hydrogen,0,0,0,0,0.1086,-1.2,2577.8,,,1.44,,,,77,0.023104048,1.575463759,126,12.65848962,0.47161327,0.993091968
1308,11,FA-ZTC,Hydrogen,0,0,0,0,0.1086,-1.2,1112.2,,,0.48,,,,77,0.025925926,1.239520958,127,6.460757149,0.406622165,0.995921998
1319,0,ACPT-600,Hydrogen,0,0,0,0,0.1086,-1.2,1790,0.89,0.1,0.79,72.3,18,,77,0.546050751,7.917414722,128,10.59965905,0.261119661,0.99026582
1329,10,ACPT-700,Hydrogen,0,0,0,0,0.1086,-1.2,1980,0.99,0.2,0.79,81.4,13.3,,77,0.61895601,9.048473968,129,11.50349218,0.254016454,0.989009875
1341,22,ACPT-750,Hydrogen,0,0,0,0,0.1086,-1.2,2810,1.42,0.27,1.15,87.1,9.9,,77,0.942693897,10.502693,130,12.11455913,0.261927528,0.98492444
1351,32,ACPT-800,Hydrogen,0,0,0,0,0.1086,-1.2,3010,1.57,0.38,1.19,88.3,8.2,,77,0.72828178,10.71813285,131,12.43613405,0.263894782,0.993666547
1363,44,ACPT-850,Hydrogen,0,0,0,0,0.1086,-1.2,3000,1.75,0.64,1.11,89,8.2,,77,0.43948703,8.563734291,132,12.47942838,0.283220076,0.990711915
1377,0,CA,Hydrogen,0,0,0,0,0.1086,-1.2,2206,1.32,0.62,0.7,,,,77,1.242377883,12.19810616,133,13.1334536,0.174926189,0.941227055
1385,8,CA-CO-I,Hydrogen,0,0,0,0,0.1086,-1.2,1667,0.7,0.1,0.6,,,,77,1.342072636,10.13098078,134,10.78817028,0.193170574,0.959317877
1393,16,CA-CO-II,Hydrogen,0,0,0,0,0.1086,-1.2,518,0.92,0.72,0.2,,,,77,2.096852546,5.208235149,135,4.923736207,0.16945851,0.953665073
1401,24,CA,Hydrogen,0,0,0,0,0.1086,-1.2,2206,1.32,0.62,0.7,,,,296,5.028211708,0.426799622,136,0.118072853,0.821847458,0.999118284
1408,31,CA-CO-I,Hydrogen,0,0,0,0,0.1086,-1.2,1667,0.7,0.1,0.6,,,,296,6.225333513,0.389771755,137,0.088077461,0.852236857,0.997926818
1416,39,CA-CO-II,Hydrogen,0,0,0,0,0.1086,-1.2,518,0.92,0.72,0.2,,,,296,6.142424106,0.242853284,138,0.060110059,0.81703125,0.996520007
1423,0,CMK-1,Hydrogen,0,0,0,0,0.1086,-1.2,1788,1.06,0.53,0.53,,,,77,0.020862508,1.016548463,139,5.873696396,0.382230102,0.98650711
1434,11,C850-2,Hydrogen,0,0,0,0,0.1086,-1.2,1889,1.09,0.48,0.61,,,,77,0.011421301,1.725768322,140,8.317028082,0.320470702,0.989925111
1445,22,C900-2,Hydrogen,0,0,0,0,0.1086,-1.2,1986,1.16,0.5,0.66,,,,77,0.016269895,2.174940898,141,9.300954617,0.335052706,0.993341503
